Title,Description,Organisation,Organisation type,Function,Phase,Region,ATRS version,Date published,Link
NHS Blood & Transplant: Organ Offering Scheme Algorithms,"The organ allocation algorithms enable quick processing of data to ensure that every precious organ donated, has the best possible chance of being transplanted successfully by an effective, fair, and transparent means.",Department for Health and Social Care,Agency or public body,Health,Production,UK,v3.0,26 June 2025,https://www.gov.uk/algorithmic-transparency-records/nhs-blood-and-transplant-organ-offering-scheme-algorithms
Environment Agency: Hello Lamp Post,Hello Lamp Post is a community engagement platform that uses Artificial Intelligence to playfully communicate and consult with citizens.,"Department for Environment, Food and Rural Affairs",Agency or public body,Environmental protection,Production,UK,v3,3 June 2025,https://www.gov.uk/algorithmic-transparency-records/environment-agency-hello-lamp-post
HMT: HERMeS (HMT's Excerpt Retrieval Messaging System),"A Q&A chatbot which allows HMT staff to search HMT documents from the knowledge base, reducing time to find, read and access information.",HM Treasury,Ministerial department,Economic affairs,Production,UK,v3,3 June 2025,https://www.gov.uk/algorithmic-transparency-records/hmt-hermes-hmts-excerpt-retrieval-messaging-system
DVLA: Drivers Medical Casework System,A casework system which uses decision trees to assist DVLA staff in assessing the users' ability to drive based on responses to medical questionnaires inputted by the user.,Department for Transport,Agency or public body,General public services,Beta/Pilot,UK,v3,29 May 2025,https://www.gov.uk/algorithmic-transparency-records/dvla-drivers-medical-casework-system
DSIT: Consult,"Consult is a new internal tool offering civil service departments high-quality, assured AI topic modelling capabilities for consultation processing.",Department for Science Innovation and Technology,Ministerial department,General public services,Pre-deployment,UK,v3.0,14 May 2025,https://www.gov.uk/algorithmic-transparency-records/dsit-consult
DBT: Business Intelligence (BI) Subject Tagger,"Suggests subject tags for Business Intelligence (BI), which is information that UK-based and international companies share with the department.",Department for Business and Trade,Ministerial department,Economic affairs,Production,UK,v3,29 April 2025,https://www.gov.uk/algorithmic-transparency-records/dbt-business-intelligence-bi-subject-tagger
DSIT - Redbox,"An AI assistant to civil servants in the UK, enabling them to use the best large language models (LLMs) to help make their daily tasks easier.",Department for Science Innovation and Technology,Ministerial department,General public services,Beta/Pilot,UK,v3,29 April 2025,https://www.gov.uk/algorithmic-transparency-records/dsit-redbox
MHCLG: Safer Greener Buildings Building Image Recognition Tool,Ascertains an accurate estimate of residential building height and an understanding of the external wall system materials used.,"Ministry of Housing, Communities & Local Government",Ministerial department,Housing and community amenities,Beta/Pilot,England,v3.0,29 May 2025,https://www.gov.uk/algorithmic-transparency-records/mhclg-safer-greener-buildings-building-image-recognition-tool
Insolvency Service: Director Conduct Reporting Service - Rules Engine,An algorithm using predetermined logic to score the answers to questions in the Director Conduct Reporting Service (DCRS) to determine if there are potential conduct issues that need to be explored further.,Department for Business and Trade,Agency or public body,Economic affairs,Beta/Pilot,UK,v3,29 April 2025,https://www.gov.uk/algorithmic-transparency-records/insolvency-service-director-conduct-reporting-service-rules-engine
HMPPS: Violence in Prisons Estimator,The Violence in Prisons Estimator helps prison staff to understand the violence risk of offenders in custody.,Ministry of Justice,Agency or public body,Public order and safety,Production,Wales and 1 others,v3.0,5 June 2025,https://www.gov.uk/algorithmic-transparency-records/hmpps-violence-in-prisons-estimator
DfE: Apprenticeship Withdrawal Rate AI,"This tool aims to help identify the likelihood of an apprentice withdrawing from their course, along with the key risk factors and the specific time intervals where the possibility is higher. The tool hopes to improve low ac…",Department for Education,Ministerial department,Education,Pre-deployment,England,v3.0,25 October 2025,https://www.gov.uk/algorithmic-transparency-records/dfe-apprenticeship-withdrawal-rate-ai
BDUK: Project Gigabit Voucher Eligibility Engine,An algorithm to assess whether a UK premise is eligible for a Project Gigabit Voucher.,Department for Science Innovation and Technology,Agency or public body,Housing and community amenities,Production,UK,3.0,11 June 2025,https://www.gov.uk/algorithmic-transparency-records/bduk-project-gigabit-voucher-eligibility-engine
DfE: Virtual Assistant for Education Providers and Learners (Davina),The virtual assistant is used by customers to retrieve answers to simple queries. Customers are generally education providers and members of the general public.,Department for Education,Ministerial department,Education,Production,UK,v3,4 April 2025,https://www.gov.uk/algorithmic-transparency-records/dfe-virtual-assistant-for-education-providers-and-learners-davina
DESNZ: Warm Home Discount Eligibility - Energy Cost Modelling,Models to help determine household eligibility for the Warm Home Discount Scheme (a one-off £150 discount on winter energy bills).,Department for Energy Security and Net Zero,Ministerial department,Environmental protection and 1 others,Production,UK,v3.0,2 March 2025,https://www.gov.uk/algorithmic-transparency-records/desnz-warm-home-discount-eligibility-energy-cost-modelling
DfE: Student Loans Forecast Modelling Pipeline,"Produces forecasts for the Department of Education's expenditure on, and the repayments it expects to receive from, higher education and further education student loans in England.",Department for Education,Agency or public body,Education,Production,England,v3.0,27 February 2025,https://www.gov.uk/algorithmic-transparency-records/dfe-student-loans-forecast-modelling-pipeline
NICE: Cochrane Randomised Controlled Trials (RCT) Classifier,Distinguishes randomised controlled trials from other types of study within research papers to help NICE staff narrow down the number of papers they need to read and review for evidence synthesis.,Department for Health and Social Care,Agency or public body,Health,Production,Wales and 1 others,v3.0,27 February 2025,https://www.gov.uk/algorithmic-transparency-records/nice-cochrane-randomised-controlled-trials-rct-classifier
NICE: Priority Screening Algorithm,"Takes a set of titles and abstracts of research papers manually screened by the user and learns from those decisions to rank the unscreened papers, assisting staff in identifying the more relevant papers faster.",Department for Health and Social Care,Agency or public body,Health,Production,Wales and 1 others,v3.0,27 February 2025,https://www.gov.uk/algorithmic-transparency-records/nice-priority-screening-algorithm
Student Loans Company: Postgraduate Assessment Rules,Performs an automatic assessment of applications from applicants wishing to obtain contribution to cost funding for postgraduate study.,Department for Education,Agency or public body,Education,Production,Wales and 1 others,v3.0,27 February 2025,https://www.gov.uk/algorithmic-transparency-records/student-loans-company-postgraduate-assessment-rules
Office for Students: Teaching Funding Allocations,Calculates OfS funding allocations for higher education providers in England.,Department for Education,Agency or public body,Education,Production,England,3.0,27 February 2025,https://www.gov.uk/algorithmic-transparency-records/office-for-students-teaching-funding-allocations
NS&I: Customer Chatbot,A chatbot used by customers of NS&I to obtain answers to product and service queries.,HM Treasury,Non-ministerial department,Economic affairs,Production,UK,v3.0,27 February 2025,https://www.gov.uk/algorithmic-transparency-records/ns-and-i-customer-chatbot
DBT: Expenses Fraud Detector,"A model to detect policy violations, anomalies and possible fraud within expense and Government Procurement Card (GPC) claims.",Department for Business and Trade,Ministerial department,Economic affairs,Production,UK,3.0,27 February 2025,https://www.gov.uk/algorithmic-transparency-records/dbt-expenses-fraud-detector
Natural England: Living England,"Habitat mapping for the whole of England using satellite imagery, targeted field survey and machine learning.","Department for Environment, Food and Rural Affairs",Agency or public body,Environmental protection,Production,England,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/natural-england-living-england
Met Office: Weather and climate forecasting,"The Met Office forecasting capacity leverages advanced technology, scientific expertise, and a global observation network to provide accurate and reliable weather and climate forecasts for public, commercial, and government …",Department for Science Innovation and Technology,Agency or public body,General public services,Production,Scotland and 2 others,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/met-office-weather-and-climate-forecasting
DSIT: GOV.UK site search,GOV.UK site search is the search engine for GOV.UK. It enables users to search for information and services on GOV.UK by entering a search query to view results that are relevant to their query.,Department for Science Innovation and Technology,Ministerial department,General public services,Production,UK,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/dsit-gov-dot-uk-site-search
OSBC: Interest Calculator,The interest calculator assists small business owners to calculate the amount of interest due on an overdue invoice.,Department for Business and Trade,Agency or public body,Economic affairs,Production,UK,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/osbc-interest-calculator
Health Research Authority: Proportionate Review Toolkit,A toolkit presented as a PowerPoint questionnaire to help Research Ethics Committee applicants determine whether their project would be eligible for proportionate review.,Department for Health and Social Care,Agency or public body,Health,Production,UK,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/health-research-authority-proportionate-review-toolkit
National Highways: Highways Webchat,The National Highways chatbot provides customers with an additional communication channel to get immediate answers to their questions using publicly available information (such as traffic information).,Department for Transport,Agency or public body,General public services,Production,Wales and 1 others,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/national-highways-highways-webchat
HMRC: Logo Detection and Classification Toolkit (LDK),This is a tool to detect unauthorised uses of HMRC's logo.,HM Revenue & Customs,Non-ministerial department,Economic affairs,Production,UK,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/hmrc-logo-detection-and-classification-toolkit-ldk
Money and Pensions Service: Redundancy Pay Calculator,"The Redundancy Pay Calculator is an online tool designed to help individuals who have been or are at risk of being made redundant understand their legal rights, calculate their potential redundancy pay, assess their financia…",Department for Work and Pensions,Agency or public body,General public services,Production,UK,v3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/money-and-pensions-service-redundancy-pay-calculator
DVSA: MOT Risk Rating,"An algorithm to identify potential non-compliance in MOT testing, and prioritise visits to MOT garages.",Department for Transport,Agency or public body,General public services and 1 others,Production,UK,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/dvsa-mot-risk-rating
DWP: Employment and Support Allowance Online Medical Matching,A tool which helps Employment and Support Allowance (ESA) agents match medical conditions for ESA claims.,Department for Work and Pensions,Ministerial department,General public services and 2 others,Production,UK,v3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/dwp-employment-and-support-allowance-online-medical-matching
NHS BSA: Residency Checker for UK EHIC/GHIC/PRC/S2,A process to support confirmation of UK residency for entitlement to healthcare in an European Economic Area (EEA) country or Switzerland.,Department for Health and Social Care,Agency or public body,Health,Production,UK,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/nhs-bsa-residency-checker-for-ehic-slash-ghic-slash-prc
Wilton Park: Data Cleaning Tool,A tool to enable compliance with The General Data Protection Regulation (GDPR) by identifying and automatically cleaning personal data from the Wilton Park customer database.,"Foreign, Commonwealth & Development Office",Agency or public body,General public services,Production,UK,3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/wilton-park-data-cleaning-tool
The Probation Service: Effective Proposal Framework,"The Effective Proposal Framework (EPF) is a digital tool used by Probation Practitioners at pre-sentence stage and as part of pre-release planning. It is used to identify requirements, licence conditions and interventions fo…",Ministry of Justice,Ministerial department,Social protection,Production,UK,v2.1,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/the-probation-service-effective-proposal-framework
Money and Pensions Service: Budget Planner,"The Budget Planner is a free online tool that helps users track and categorise their spending, provides a detailed breakdown of their finances, and offers personalised tips to improve their money management - taking just 5-1…",Department for Work and Pensions,Agency or public body,General public services,Production,UK,v3.0,10 February 2025,https://www.gov.uk/algorithmic-transparency-records/money-and-pensions-service-budget-planner
"Bristol City Council: Not In Education, Employment or Training Model","The NEET (Not in Education, Employment, or training) Model is hosted on the Think Family Database (TFD) and used to help safeguarding professionals from Bristol City Council to coordinate support for families who are at risk…",Bristol City Council,Agency or public body,Social protection,Production,South West,v1.1,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/bristol-city-council-not-in-education-employment-or-training-model
Barnet Council: Ami Chatbot,Implementing an automated webchat functionality ('chatbot') to the Barnet Council website to provide a better customer experience.,London Borough of Barnet,Local authority,General public services and 1 others,Beta/Pilot,London,v3.0,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/barnet-council-ami-chatbot
West Berkshire Council: Apply for a Larger Rubbish Bin,The tool is used to automate the process of assessing whether applicants for a larger non-recyclable household waste container meet the minimum threshold as set out in the council’s policy. Applications that meet the minimum…,West Berkshire Council,Local authority,Housing and community amenities,Production,South East,v3.0,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/west-berkshire-council-apply-for-a-larger-rubbish-bin
Warwickshire County Council: Domestic EPC Estimates,This algorithmic tool is used to estimate the domestic energy performance certificates (EPC) of all households in Warwickshire that are missing one.,Warwickshire County Council,Local authority,Housing and community amenities,Production,England,v3.0,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/warwickshire-county-council-domestic-epc-estimates
Social Care Wales: Qualification Chatbot,"The Qualifications Chatbot is used to support the public with an interest in social care qualifications find the appropriate qualification and information to work in the social care, early years, and childcare sector in Wale…",Department for Science Innovation and Technology,Devolved administration,General public services and 2 others,Beta/Pilot,Wales,v2.1,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/social-care-wales-qualification-chatbot
"London Borough of Sutton: Access Assure, Technology Enabled Care","Access Technology Enabled Care (TEC) transforms care through combining traditional reactive alarm functionality with proactive digital insights of daily living activities, to support personalised, proactive and preventative …",London Borough of Sutton,Local authority,Health,Production,London,v3.0,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/london-borough-of-sutton-access-assure-technology-enabled-care
Greater London Authority: London Building Stock Model 2,"Key information about London's properties, drawn from a range of sources and enhanced by modelling with the purpose of informing energy and housing programmes.",Greater London Authority,Local authority,,Beta/Pilot,London,v3.0,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/greater-london-authority-london-building-stock-model-2
Ealing Council: Adult Social Care Annual Financial Expenditure Forecast,A machine learning model to forecast annual adult social care expenditure by cost centre.,Ealing Council,Local authority,Health,Production,London,v3.0,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/ealing-council-adult-social-care-annual-financial-expenditure-forecast
Camden Council: RentSense,RentSense analyses rent transaction data from Council Housing tenants' rent accounts to present a prioritised list of arrears cases recommended for contact via a standalone case management portal. This will be used along…,Camden Council,Local authority,Housing and community amenities,Beta/Pilot,London,v3.0,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/camden-council-rentsense
Dorset Council: Formulate for Adult Social Care,"Providing fair, accurate and financially sustainable personal budgets to adults with eligible care and support needs. This record was written jointly by both Dorset Council and the tool supplier, Imosphere.",Dorset Council,Local authority,General public services and 1 others,Production,South West,v3.0,28 January 2025,https://www.gov.uk/algorithmic-transparency-records/dorset-council-formulate-for-adult-social-care
Network Rail: Digital Assistant,"Chatbot to filter and resolve public enquiries and where necessary, hand-off to a live advisor for further review.",Department for Transport,Agency or public body,General public services,Production,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/network-rail-digital-assistant
Money and Pensions Service: Pension Calculator,The Pension Calculator estimates your potential retirement income and helps you plan how much to save to reach your financial goals for retirement.,Department for Work and Pensions,Agency or public body,General public services and 1 others,Production,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/money-and-pensions-service-pension-calculator
Cafcass: Genesys ChatBot,A chatbot to assist website and telephone users find information faster.,Ministry of Justice,Agency or public body,Social protection,Production,England,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/cafcass-genesys-chatbot
NICE: NORMA (NICE-ONS Recommendation Matching Algorithm),NORMA is an internal tool that allows staff at NICE to search NICE published guidance and recommendations quickly by undertaking a simple keyword or recommendation search.,Department for Health and Social Care,Ministerial department and 1 others,Health,Production,Wales and 1 others,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/nice-norma-nice-ons-recommendation-matching-algorithm
Oak National Academy: Aila (Oak's AI Lesson Assistant),"AI lesson assistant for UK teachers to create personalised lesson resources for their classes, with the aim of reducing teacher workload.",Department for Education,Agency or public body,Education,Beta/Pilot,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/oak-national-academy-aila-oaks-ai-lesson-assistant
DBT: Find Exporters,Find Exporters data uses the Export Propensity Scores to aid users in establishing the export potential of companies on the Companies House register. The algorithm predicts the probability that a company exports goods. This …,Department for Business and Trade,Ministerial department,Economic affairs,Production,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/dbt-find-exporters
MoJ: Data First (Splink),Splink is an open-source tool for probabilistic data linkage developed for the Data First program. Data First provides academic researchers with datasets across the Justice system where individuals can be identified with a s…,Ministry of Justice,Ministerial department,Defence,Production,Wales and 1 others,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/moj-data-first-splink
MOD: Textio,"An AI-powered writing assistant tool that enhances job adverts by analysing and optimising language for inclusivity, engagement and effectiveness.",Ministry of Defence,Ministerial department,Defence,Beta/Pilot,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/mod-textio
Home Office: Complexity Application Routing Solution - Visits,CARS(V) is a semi-automated workflow routing solution which identifies the likely complexity of visitor visa applications based on applicant’s declared attributes.,Home Office,Ministerial department,General public services,Production,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/home-office-complexity-application-routing-solution-visits
FCDO: Consular Digital Triage - Written Enquiries LLM,A tool for suggesting relevant guidance and services for British nationals abroad.,"Foreign, Commonwealth & Development Office",Ministerial department,General public services,Beta/Pilot,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/fcdo-consular-digital-triage-written-enquiries-llm
HMT: Correspondence Triage Automation Tool,Automates steps when triaging correspondence.,HM Treasury,Ministerial department,Economic affairs,Production,UK,3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/hmt-correspondence-triage-automation-tool
DSIT: Succession Select,A search tool to support identification of current Senior Civil Servants with career profiles that match requirements for senior digital role vacancies.,Department for Science Innovation and Technology,Ministerial department,General public services,Beta/Pilot,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/dsit-succession-select
DSIT: Ask Ops Chatbot,Ask Ops Chatbot is a prototype tool that uses a Large Language Model to provide users with accurate and speedy answers 24/7 to questions about internal HR guidance.,Department for Science Innovation and Technology,Ministerial department,General public services,Pre-deployment,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/dsit-ask-ops-chatbot
HMT: Policy Engine UK,PolicyEngine UK is an open-source microsimulation model of the UK tax and benefit system. The model estimates tax liabilities and benefit entitlement in the Family Resources Survey dataset from given policy parameters and st…,HM Treasury,Ministerial department,Economic affairs,Beta/Pilot,UK,v3.0,17 December 2024,https://www.gov.uk/algorithmic-transparency-records/hmt-modelling-policy-engine
NHS England: NHS.UK Reviews Automoderation Tool,"The NHS.UK website receives thousands of reviews each year about NHS services. This tool automates a previously manual process by using natural language processing (NLP) techniques to improve efficiency, scalability, and use…",NHS England,Agency or public body,General public services and 1 others,Retired,England,v3.0,23 July 2024,https://www.gov.uk/algorithmic-transparency-records/nhs-england-nhs-dot-uk-reviews-automoderation-tool
