model_name,category,entity,product_name,intended_purpose,month,service_type,source_file
澎湃智媒AI海报算法,服务技术支持者,上海派生万物智能科技有限公司,--,应用于图像生成场景，服务于企业端客户，根据用户输入的绘画文字描述、风格或参考图，生成满足个性要求的海报图片。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
乐逗Fanbook大模型算法-1,服务提供者,深圳市乐逗科技有限责任公司,Fanbook(网站)、Fanbook(APP),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
乐逗AI图像生成算法,服务提供者,深圳市乐逗科技有限责任公司,Fanbook(网站)、Fanbook(APP),应用于图像生成场景，根据用户输入的文本数据，生成符合用户需求的图像，实现文生图功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
乐逗Fanbook大模型算法-2,服务技术支持者,深圳市乐逗科技有限责任公司,--,应用于文本生成场景，服务于企业端客户，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
TensAI生成算法,服务提供者,深圳威科未来科技有限公司,TensAI(网站),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
象信AI代码生成算法,服务技术支持者,北京象信智能科技有限公司,--,应用于代码生成场景，服务于企业端客户，根据用户输入的文本内容，生成符合用户需求的代码与注释内容，实现代码生成、代码补全、错误修复等功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
即时设计文生UI算法,服务提供者,北京雪云锐创科技有限公司,即时设计AI(网站),应用于网页界面设计生成场景，根据用户输入的文本信息，生成符合用户需求的UI界面。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
魔方神笔文本生成算法-2,服务提供者,玄元保险代理有限公司,理财魔方(APP),应用于文本生成场景，根据用户输入的主题方向，结合大模型及搜索引擎公开资料，生成符合用户需求的长文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
轻松怡康仙女阿尔法大模型算法,服务提供者,北京轻松怡康信息技术有限公司,智慧患教(网站),应用于对话生成场景，根据用户输入的文本数据，输出相应的回复文本。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
赫尔墨斯AI人像生成算法,服务提供者,海南赫尔墨斯科技有限公司,熊猫像素(小程序),应用于图像生成场景，根据用户上传的照片，提取用户的面部特征，配合文字描述生成特定风格的写真照片。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
魔方神笔文本生成算法-1,服务技术支持者,北京口袋财富信息科技有限公司,--,应用于文本生成场景，服务于企业端用户，根据用户输入的主题或关键词，生成相关内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
普强深思-DeepThinking大模型算法,服务技术支持者,普强时代（珠海横琴）信息技术有限公司,--,应用于对话生成场景，服务于企业端用户，根据用户输入文本信息，生成相关的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
普强深思大模型算法,服务提供者,普强时代（珠海横琴）信息技术有限公司,“深思大模型”能力平台(网站),应用于对话生成场景，根据用户输入文本信息，生成相关的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
数说故事SocialGPT内容生成算法,服务提供者,广州数说故事信息科技有限公司,数说雷达(网站)、小智 Insight(网站),应用于对话生成场景，根据用户输入的文本内容或指令数据，生成符合用户意图的回答。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
虎博TigerBot生成算法,服务提供者,虎博网络技术（上海）有限公司,TigerBot(小程序)、TigerBot(网站)、TigerBot(APP),应用于对话生成场景，根据用户输入文本信息，生成相关的对话文本回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
BTY-NeuroText-Enhanced算法,服务提供者,斑头雁（杭州）智能科技有限责任公司,BetterYeah AI Agent(网站),应用于文本生成场景，根据用户输入的文本，生成相关的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
面壁智能CPM中文预训练大模型算法,服务提供者,北京面壁智能科技有限责任公司,面壁露卡(网站),应用于对话生成场景，根据用户输入文本信息，生成相应的文本回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
视觉中国图像合成算法,服务技术支持者,汉华易美视觉科技有限公司,--,应用于图像生成场景，服务于企业端客户，根据用户输入的提示文本或参考图信息，生成不同风格的图像内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
乐骐图像生成算法-1,服务提供者,无锡乐骐科技股份有限公司,美如盐形象照（支付宝、快手小程序）(小程序)、小漫头像(APP)、智能证件照(APP)、美如盐形象照（微信小程序）(小程序)、美如盐形象照(APP)、小漫头像（抖音小程序）(小程序)、美如盐形象照（QQ、抖音小程序）(小程序)、智能证件照（微信、支付宝、快手小程序）(小程序)、小漫头像（微信、支付宝、快手小程序）(小程序)、智能证件照（抖音小程序）(小程序),应用于图像生成场景，根据用户上传的个人正面照片和选定的模板信息，生成个性化形象照片。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
妈网Nuwa智能问答算法,服务提供者,广州盛成妈妈网络科技股份有限公司,猴哥跳跳AI（APP）、妈妈网孕育(APP),应用于对话生成场景，根据用户输入的问题，生成孕育母婴领域相关回答。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
元深智能多媒体合成算法,服务提供者,厦门元深智能科技有限公司,绘心智图(小程序),应用于图像或音视频生成场景，根据用户输入的文本描述或图片，生成个性化的人像、场景图像、音视频等内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
视睿教学内容辅助生成算法,服务提供者,广州视睿电子科技有限公司,中文绘本精读(APP)、课堂智能反馈系统(APP)、希沃白板（桌面版）(APP)、希沃白板（手机版）(APP),应用于文本生成场景，根据用户输入的文本，生成课件、会议摘要、课堂反馈、绘本文本等内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
弈博益商Ai输入法生成合成类算法,服务提供者,天津弈博益商信息科技有限公司,chat智聊输入法·(APP),应用于文本生成场景，根据用户输入的文本数据，生成符合语法和语义规则的新文本数据。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
派欧图像视频生成算法,服务技术支持者,派欧云计算（上海）有限公司,--,应用于图像、视频生成场景，服务于企业端客户，根据用户输入的文本、图像数据，生成符合用户需求的图像、视频内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
元语AI机器人生成合成算法,服务提供者,苏州元语网络科技有限公司,AI机器人文案师(APP)、AI机器人(APP),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
无界AI图像生成算法,服务提供者,杭州超节点信息科技有限公司,无界AI(APP),应用于图像生成场景，根据用户输入的文本、图像数据，生成符合用户需求的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
好未来九章大模型学习助手算法,服务提供者,广州九章未来网络科技有限公司,随时问(APP)、题拍拍(APP),应用于智能对话场景，根据用户输入的文本信息，生成符合用户需求的文本内容，主要用于解答各种数学问题。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
悠拓AI绘图猿生成合成类AI绘图算法,服务提供者,广州悠拓科技有限公司,AI绘图猿(小程序),应用于图像生成场景，根据用户输入的文本、图像数据，生成符合用户需求的图像，实现文生图、图生图功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
天云数据虚拟数字人生成算法,服务技术支持者,天云融创数据科技（北京）有限公司,--,应用于数字人生成场景，服务于企业端客户，根据输入的图像、视频，生成数字人形象的图像、视频。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
鹏桦智联大模型算法,服务技术支持者,重庆鹏桦科技有限公司,--,应用于文本生成场景，服务于企业端客户，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
知海图AI深度合成算法,服务提供者,北京智者天下科技有限公司,知海图 chat(网站)、知乎(网站)、知乎(APP),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
墨影留香图像生成算法,服务提供者,上海墨影留香网络科技有限公司,神工意匠Magic(小程序),应用于图像生成场景，根据用户输入的文本、图像数据，生成符合用户需求的图像，实现文生图、图生图功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
ReadPaper学术内容生成算法,服务提供者,粤港澳大湾区数字经济研究院（国际先进技术应用推进中心（深圳））,ReadPaper(网站),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容，实现论文阅读、论文润色等功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
百事通法律咨询内容增强生成算法,服务提供者,上海百事通信息技术股份有限公司,百事通法律智能问答助手(小程序),应用于对话生成场景，根据用户输入的问题，生成法律咨询服务领域文本回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
优酷生成合成类算法,服务提供者,优酷信息技术（北京）有限公司,优酷(APP),应用于对话生成场景，根据用户输入的查询文本，生成相应的文本回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
黑马天启科创大模型算法,服务提供者,北京黑马天启科技有限公司,创新笔记(网站),应用于文本生成场景，根据用户输入的文本，生成相关的文本信息。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
云从科技语音合成算法,服务技术支持者,云从科技集团股份有限公司,--,应用于语音生成场景，服务于企业端用户，根据输入的文本内容，转化为语音音频。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
草料二维码图像深度合成算法,服务提供者,宁波邻家网络科技有限公司,草料二维码(网站),应用于二维码图片生成场景，根据用户输入的文本或图片，生成符合描述的二维码图片。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
宠胖胖智能问答算法,服务提供者,杭州宠胖胖科技有限公司,宠胖胖(APP)、宠胖胖(小程序),应用于对话生成场景，根据用户输入的问题，生成宠物领域知识相关的回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
美小美文本生成算法,服务提供者,北京美小美科技有限公司,小美AI城(小程序、APP),应用于智能对话场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
出门问问数字人合成算法-2,服务技术支持者,出门问问信息科技有限公司,--,应用于数字人视频生成场景，服务于企业端客户，根据输入的文本、人像图像或视频，生成数字人形象的视频。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
AI提示语图像生成算法,服务提供者,提示语科技（北京）有限公司,小语AI(小程序)、AI提示语(网站),应用于图像生成场景，根据用户输入的文本、图像数据，生成符合用户需求的图像内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
灵图辅助设计视觉生成算法,服务提供者,厦门灵图科技有限公司,灵图AI辅助设计(网站),应用于图像生成场景，根据用户输入的文本、图像数据，生成符合用户需求的图像内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
道勤CogenLLM文本合成算法,服务提供者,上海道勤软件有限公司,navalink AI(网站、小程序),应用于文本生成场景，根据用户输入的文本，生成相关的文本信息。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
多彩宝人脸融合合成算法,服务提供者,贵州多彩宝互联网服务有限公司,多多风景眼(小程序),应用于图像生成场景，根据用户上传的人脸图片或视频，将用户上传的目标人脸图片与模板中的人脸图片进行面部融合，生成换脸图片。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
旻浦数字人生成服务算法,服务提供者,上海旻浦科技有限公司,旻浦数字人(网站),应用于数字人生成场景，根据用户输入文字，转换成音频后驱动用户输入的人像图片或人像视频，生成唇形同步的数字人视频。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
彩岛App文本生成处理算法,服务提供者,河南中屿科技有限公司,彩岛(APP),应用于文本生成场景，根据用户输入的文本，生成相应的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
彩鱼相机人像合成算法,服务提供者,北京猿印教育科技有限公司,彩鱼相机(APP)、Emoji U(小程序)、Emoji U(APP),应用于图像生成场景，根据用户上传的图片和选择的照片风格，生成多种风格化的形象照。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
愈卓生成合成算法,服务提供者,广州愈卓科技有限公司,愈卓(APP)、愈卓(网站),应用于视频生成场景，根据用户输入的文本，或者选择性地添加图片、音频或视频，生成视频内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
创作猫语音合成算法,服务提供者,北京主语空间文化发展有限公司,创作猫(APP),应用于音频生成场景，根据用户输入的文案或导入的台本以及选择的音色、语速、情绪等，生成对应的音频。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
中科大洋文生图内容生成算法-1,服务提供者,北京中科大洋科技发展股份有限公司,大洋智能化稿件生产平台(其他),应用于图像生成场景，根据用户输入的文本、图像数据，生成符合用户需求的图像内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
猎聘职位描述生成算法,服务提供者,同道精英(天津)信息技术有限公司,猎聘(APP)、猎聘网(网站),应用于文本生成场景，根据用户输入的要求内容，生成符合用户要求的完整职位描述文本。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
知作智能文本生成算法,服务提供者,北京至二科技有限公司,知作(网站)、知作(APP),应用于文本生成场景，根据用户输入的问题或指令，生成相应的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
饿了么用户对话导购算法,服务提供者,上海拉扎斯信息科技有限公司,饿了么(APP),应用于对话生成场景，根据用户输入的问题，结合用户位置信息及过往的偏好信息，生成用户感兴趣的内容知识，并提供具体商品的搜索列表。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
瞬火人脸融合算法,服务提供者,武汉博闻科技有限公司,瞬火(APP),应用于人脸图像、视频生成场景，将用户上传的照片与特定模板进行面部融合，生成融合后的人脸图像、视频。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
文阅数字文本生成算法,服务提供者,深圳文阅数字科技有限公司,ChatBird(小程序),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
Loft3di虚拟试穿合成算法,服务提供者,入迷(成都)信息技术有限公司,Loft智拍照相馆(小程序),应用于图片生成场景，根据用户输入的图片，并且选择模板或输入文字描述，生成模特试穿衣服后的图片。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
万兴天幕多媒体大模型算法,服务技术支持者,万兴科技（湖南）有限公司,--,应用于多媒体内容生成场景，服务于企业端客户，根据输入的文本、图像、音频等数据，生成相应的文本、图像等内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
核韬AI-文生图算法,服务提供者,深圳核韬科技有限公司,核韬AI(小程序),应用于图像生成场景，根据用户输入的文本，生成与文本描述相匹配的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
KristonAI快商通-汉朝大模型算法,服务提供者,厦门快商通科技股份有限公司,汉朝大模型(网站),应用于对话生成场景，根据用户输入的文本内容，生成相应的文本回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
证券之星金融资讯生成算法,服务提供者,上海美宁计算机软件有限公司,证券之星金融资讯内容生成系统(网站),应用于文本生成场景，根据输入的文本数据，生成金融资讯领域的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
小度图像生成合成算法,服务提供者,上海小度人工智能有限公司,咔咔美换(小程序)、美吖相机(小程序),应用于图像生成场景，根据用户输入的图像和选择的风格图像或服装图像，生成符合用户需求的图像内容，实现人脸融合、风格转换等功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
CeMeta影像级商品场景图生成算法,服务提供者,上海海湃领客文化科技有限公司,CeMeta全民营销助手(小程序)、AI商品图助手(网站)、AI商品拍摄助手(网站),应用于图像生成场景，根据用户上传的图片和选择输入产品尺寸、类型等参数，生成产品场景图。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
阅文妙笔文本生成大模型算法,服务提供者,上海阅文信息技术有限公司,起点读书(APP)、筑梦岛(APP),应用于对话生成场景，根据用户输入文本内容，生成相应的文本回复，实现用户和文学作品中人物的交互功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
阅文妙笔图像生成算法,服务提供者,上海阅文信息技术有限公司,筑梦岛(APP),应用于图像生成场景，根据用户输入的参考图像和文本内容，生成符合用户需求的人物图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
一亩田小田智能客服算法,服务提供者,北京一亩田新农网络科技有限公司,一亩田服务(公众账号),应用于智能对话场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
天翼数生海纳视联多模态大模型算法,服务提供者,天翼数字生活科技有限公司,小翼管家(APP)、天翼数字乡村(网站)、天翼云盘(APP)、天翼云眼(网站)、天翼智慧社区(网站),应用于文本生成场景，根据用户输入的视频和问题文本内容，生成符合用户需求的问题回答文本内容，实现视频问答功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
蓝伞科技制图机AI绘画与图片编辑生成合成算法,服务提供者,上海蓝伞科技有限责任公司,制图机微信公众号机器人(公众账号)、制图机(网站),应用于图像生成场景，根据用户输入的图像和提示词文本，生成符合用户需求的图像内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
易生诸相生成算法,服务技术支持者,网易（上海）网络游戏有限公司,--,应用于文本和图像生成场景，服务于企业端客户，根据用户输入的文本或图像信息，生成符合用户需求的文本或图像内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
小冰人脸生成算法,服务提供者,北京红棉小冰科技有限公司,小冰岛(APP)、X Eva(APP),应用于人脸图像生成场景，根据用户输入的性别等参数，生成符合用户需求的人脸图像内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
麦风问答大模型算法,服务提供者,深圳麦风科技有限公司,ChatArt: Chatbot & AI Writer(APP),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
小冰图像生成算法,服务提供者,北京红棉小冰科技有限公司,小冰岛(APP),应用于图像生成场景，根据用户输入的文本内容，生成符合用户需求的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
金叶天成医学生成合成算法,服务技术支持者,金叶天成（北京）科技有限公司,--,应用于对话生成场景，服务于企业端用户，根据用户输入的文本问题，生成医学领域相关知识文本信息。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
WPSAI文生图算法-1,服务提供者,北京金山办公软件股份有限公司,WPS Office(APP),应用于图像生成场景，根据用户输入的文本内容，生成与语义相关的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
萌萌舒AI应事文本信息合成算法1,服务提供者,成都萌萌舒科技有限公司,还梦(小程序),应用于文本生成场景，根据用户输入的指令，生成符合该指令要求的文本。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
惊叹科技文本内容生成算法,服务提供者,深圳市惊叹科技有限公司,TalkAI练口语(其他),应用于智能对话场景，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
月之暗面Moonshot语言模型算法-1,服务提供者,北京月之暗面科技有限公司,Kimi 智能助手(小程序)、Kimi 智能助手(APP)、Kimi 智能助手(网站),应用于智能对话场景，旨在提升企业和个人的文本处理效率，根据用户提出的问题，进行语义和上下文关联分析，生成对话文本回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
淘宝生成式电商导购算法,服务提供者,杭州淘宝营销管理有限公司,手机淘宝(APP),应用于智能对话场景，根据用户输入的文本信息，为用户提供购物信息检索与推荐问答服务。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
联汇多模态交互式内容生成大模型算法-1,服务技术支持者,杭州联汇科技股份有限公司,--,应用于文本、图像、音频、视频生成场景，服务于企业端客户，根据用户输入的文本、图像、音频（转换为文本）、视频（转换为图像）信息，结合大模型，生成符合用户需求的文本、图像、音频、视频内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
力维智联迥灵行业大模型生成算法,服务技术支持者,深圳力维智联技术有限公司,--,应用于文本生成场景，服务于企业端客户，根据用户输入的文本信息，生成符合用户需求的文本内容。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
元象XVERSE大模型算法,服务提供者,深圳元象信息科技有限公司,元象大模型官网(网站),应用于文本生成场景，根据用户输入的文本，生成相应的文本回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
壹建造物图片处理算法,服务提供者,壹建造物文创科技（廊坊市）有限责任公司,壹建造物(小程序),应用于图像生成场景，根据用户输入的描述文本或上传的图片，生成符合用户描述的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
行者AI音乐生成算法,服务提供者,成都潜在人工智能科技有限公司,行者AI音乐创作系统(网站),应用于音频生成场景，根据用户输入的歌词和音符，生成符合输入内容的音乐作品。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
行者AI图像生成大模型算法,服务技术支持者,成都潜在人工智能科技有限公司,--,应用于图像生成场景，服务于企业端客户，根据用户输入的文本提示词和图像数据，生成相应的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
行者AI美术生成算法,服务提供者,成都潜在人工智能科技有限公司,行者AI美术生成系统(网站),应用于图像生成场景，根据用户输入的文本提示词和图像数据，生成相应的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
酷影私有AI文本生成算法,服务提供者,厦门酷影科技有限公司,酷影私有AI+(网站),应用于对话生成场景，根据用户输入的文本内容，生成相应的文本回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
亲宝宝育儿问答文本生成算法,服务提供者,杭州点望科技有限公司,亲宝宝(APP),应用于对话生成场景，根据用户输入的育儿问题，生成相应的解答文本。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
宠爱无限图像风格化算法,服务提供者,杭州宠爱无限网络技术有限公司,萌仔相机(小程序),应用于图像生成场景，根据用户上传的宠物图像，与已有风格化素材拼合，生成符合用户需要的风格化图片。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
未道科技老照片修复算法,服务提供者,杭州未道科技有限公司,未道帮(网站),应用于图像生成场景，根据用户上传的旧损照片，生成修复后的照片。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
安之来XDevelop代码生成算法,服务提供者,湖南安之来科技有限公司,XDevelop(网站),应用于代码生成场景，根据用户输入的文本内容，为开发人员提供需求分析、代码生成、代码错误修正、代码复杂度分析、代码翻译等功能。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
CNKIAI学术研究助手算法,服务提供者,同方知网数字出版技术股份有限公司,CNKI AI学术研究助手(网站)、全球学术快报-AI助手(APP)、ChatCAJ阅读助手(其他),应用于对话生成场景，根据用户输入的问题，生成相应的文本答案。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
有鱼说人物图像合成算法-1,服务提供者,河南易企尚信息科技有限公司,有鱼趣测(小程序),应用于图像生成场景，根据用户上传的人物图像和选择的不同风格参数，匹配不同的预设文本信息和图片信息，生成指定风格的图像。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
林间聊愈室文字及语音对话生成算法,服务提供者,广州心纪源信息科技有限公司,林间聊愈室(APP)、心岛日记(APP),应用于对话生成场景，根据用户输入的语音或文字，生成相应的语音回复。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
彩云小梦辅助创作文本生成算法,服务提供者,北京彩彻区明科技有限公司,彩云小梦网页版(网站)、彩云小梦(APP),应用于文本生成场景，根据用户输入的文本信息，生成符合用户需求的文本内容，主要用于辅助文本创作。,2024-4,generative ai,境内深度合成服务算法备案清单（2024年4月）.docx
